,bedrooms_total,baths_total,acres,sq_ft_tot_fn,tax_gross_amount,assessment_value_town,garage_capacity,year_built,total_stories,rooms_total,garage,flood_zone,basement,price_closed,city__Pomfret,city__Woodstock,covenants__Unknown,covenants__Yes,garage_type,short_sale,basement_access_type,current_use
119,3.0,3.0,51.6,3554.0,28272.0,1353000.0,2.0,1920.0,1.75,14.0,1.0,1.0,1.0,1820000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28907413239691393
120,4.0,3.0,14.1,2752.0,8389.0,523800.0,0.0,1980.0,1.0,9.0,0.0,0.0,0.0,530000.0,0.0,1.0,0.0,1.0,0.24638348209327518,1.0,1.0,0.7066859863018577
121,4.0,4.0,1.34,4512.0,30960.0,1140000.0,2.0,1801.0,2.5,11.0,1.0,0.0,1.0,1825000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07815085089351008
122,4.0,5.0,0.52,5062.0,26447.0,1180000.0,6.0,1830.0,3.0,13.0,1.0,0.0,1.0,1750000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
123,3.0,3.0,10.0,3000.0,4748.0,272560.0,2.0,1968.0,2.0,9.0,1.0,0.0,1.0,365000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124,4.0,3.0,0.35,2552.0,13211.0,644400.0,2.0,1870.0,3.0,12.0,1.0,0.0,0.0,550000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5487754132876955,0.0
125,3.0,4.0,5.59,1920.0,11552.0,552500.0,2.0,1997.0,2.0,7.0,1.0,0.0,1.0,665000.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
126,3.0,3.0,1.3,2262.0,8441.0,403700.0,2.0,1987.0,3.0,7.0,1.0,0.0,0.0,370000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08971844456593285,0.0
127,3.0,3.0,24.27117647058824,2164.0,13268.992366412214,112500.0,1.786764705882353,1975.0,2.0,7.0,1.0,0.0,0.0,330000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0000000240749352,0.0
128,4.0,4.0,43.4,5000.0,21395.0,1175150.0,2.0,1980.0,3.0,12.0,1.0,1.0,1.0,650000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5847816300474671
129,3.0,2.0,68.92,1544.0,16862.0,874000.0,0.0,1998.0,1.5,6.0,0.0,0.0,1.0,1150000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
130,3.0,3.0,13.7,2935.0,11368.0,770200.0,2.0,2002.0,1.5,8.0,1.0,0.0,1.0,508500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.11752159527162491
131,2.0,1.0,2.32,1332.0,5453.0,284000.0,2.0,1965.0,1.0,8.0,1.0,0.0,1.0,320000.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
132,3.0,3.0,8.1,1872.0,6837.0,337900.0,0.0,2005.0,2.0,6.0,0.0,0.0,0.0,310000.0,0.0,1.0,0.0,0.0,2.0265181043011857,0.0,0.15604030699197735,0.0
133,3.0,2.0,5.62,2256.0,6411.0,353600.0,1.0,2001.0,1.5,10.0,1.0,1.0,1.0,305000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.05635020015743412,0.0
134,6.0,8.0,5.5,7783.0,15867.0,421700.0,0.0,1875.0,2.0,11.0,0.0,1.0,1.0,415000.0,0.0,1.0,0.0,1.0,0.7915229729769419,0.0,0.24460593943381098,0.0
135,5.0,3.0,58.1,4080.0,18957.0,1041270.0,2.0,1850.0,2.0,10.0,1.0,0.0,1.0,750000.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
136,4.0,4.0,133.3,3800.0,23815.0,1367040.0,2.0,1986.0,2.5,10.0,1.0,0.0,1.0,1200000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7540630189747523
